Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NZA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NZA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NZA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
10,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Forest
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
