Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KTU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KTU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KTU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KTU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KTU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KTU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KTU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KTU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
10,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
17,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
22,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
23,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
24,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
25,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
27,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
28,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
