Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KWQ_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
41,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
43,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
46,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
56,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
57,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
58,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
59,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
60,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
61,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
62,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
63,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
64,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
65,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
66,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
67,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
68,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
69,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
70,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
71,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
72,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
73,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
74,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
75,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
76,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
77,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
78,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
79,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
80,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
81,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
82,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
83,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
84,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
85,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
86,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
87,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
88,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
89,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
90,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
91,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
92,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
93,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
94,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
95,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
96,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
97,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
98,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
99,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
100,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
101,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Forest
102,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
103,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
104,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
105,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
106,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
107,NULL,NULL,Water,NULL,Water,NULL,NULL,Built-up
108,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
109,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
110,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
111,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
112,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
113,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
114,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
115,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
116,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
117,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
118,NULL,NULL,Water,Water,Water,NULL,NULL,Water
119,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
120,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
121,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
122,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
123,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
124,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
125,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
126,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
127,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
128,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
129,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
130,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
131,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
132,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
133,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
134,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
135,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
136,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
137,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
138,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
139,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
140,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
141,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
142,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
143,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
144,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
145,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
146,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
147,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
148,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
149,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
150,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
151,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
152,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
153,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
154,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
155,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
156,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
157,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
158,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
159,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
160,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
161,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
162,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
163,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
164,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
165,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
166,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
167,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
168,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
169,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
170,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
171,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
172,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
173,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
174,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
175,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
176,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
177,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
178,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
179,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
180,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Water
181,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
182,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
183,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
184,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Water
185,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
186,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
187,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
188,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
189,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
190,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
191,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
192,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
193,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
194,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
195,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
196,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
197,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
198,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
199,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
200,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
201,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
202,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
203,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
204,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
205,NULL,Cropland,Water,NULL,Water,NULL,NULL,Bareland
206,NULL,Cropland,Water,NULL,Water,NULL,NULL,Built-up
207,NULL,Cropland,Water,NULL,Water,NULL,NULL,Water
208,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
209,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Wetland
210,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Bareland
211,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Water
212,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Forest
213,NULL,Cropland,Water,Water,Water,NULL,NULL,Grassland
214,NULL,Cropland,Water,Water,Water,NULL,NULL,Wetland
215,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
216,NULL,Cropland,Water,Water,Water,NULL,NULL,Forest
217,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
218,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
219,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
220,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
221,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
222,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
223,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
224,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
225,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
226,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
227,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
228,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
229,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
230,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
231,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
232,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Water
233,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Forest
234,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
235,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
236,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
237,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
238,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
239,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
240,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
241,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
242,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
243,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
244,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
245,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
246,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
247,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
248,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
249,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
250,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
251,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
252,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
253,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
254,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
255,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
256,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
257,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
258,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
259,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
260,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
261,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
262,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
263,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
264,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
265,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
266,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
267,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Water
268,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
269,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
270,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
271,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Forest
272,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
273,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
274,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
275,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
276,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
277,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
278,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
279,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
280,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
281,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
282,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
283,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
284,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
285,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
286,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
287,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
288,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
289,NULL,Built-up,Water,NULL,Water,NULL,NULL,Cropland
290,NULL,Built-up,Water,NULL,Water,NULL,NULL,Bareland
291,NULL,Built-up,Water,NULL,Water,NULL,NULL,Built-up
292,NULL,Built-up,Water,NULL,Water,NULL,NULL,Water
293,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
294,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
295,NULL,Built-up,Water,Water,Water,NULL,NULL,Water
296,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
297,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
298,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
299,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
300,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
301,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
302,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
303,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
304,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Grassland
305,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
306,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
307,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
308,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
309,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
310,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
311,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
312,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
313,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
314,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
315,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
316,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
317,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
318,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
319,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
320,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
321,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
322,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
323,NULL,Water,Water,NULL,Water,NULL,NULL,Water
324,NULL,Water,Water,Non_Water,Water,NULL,NULL,Grassland
325,NULL,Water,Water,Non_Water,Water,NULL,NULL,Bareland
326,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
327,NULL,Water,Water,Water,Water,NULL,NULL,Water
328,NULL,Water,Water,Water,Water,NULL,NULL,Forest
329,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
330,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
331,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
332,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
333,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
334,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
335,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
336,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
337,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
338,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
339,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
340,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
341,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
342,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
