Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KNR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KNR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KNR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KNR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KNR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KNR_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
124,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
126,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
127,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
130,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
131,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
136,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
137,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
138,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Bareland
140,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
150,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Bareland
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
160,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
163,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
178,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
179,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
180,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
181,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
182,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Water
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Cropland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Built-up
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Cropland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Built-up
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
