Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NZE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NZE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NZE_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
6,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
7,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
8,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
9,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
18,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
19,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
20,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
21,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
22,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
23,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
24,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
26,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
27,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
28,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
29,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
30,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
31,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
32,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
33,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
34,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
35,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
38,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
39,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
40,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
41,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
42,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
43,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
44,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
45,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
46,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
47,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
48,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
49,NULL,NULL,Water,Water,Water,NULL,NULL,Water
50,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
51,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
52,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
53,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
