Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NGF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NGF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
4,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
15,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
16,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
18,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
20,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
22,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
23,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
28,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
