Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MKM_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Bareland
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Bareland
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Water
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
201,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
202,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Cropland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
220,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
221,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Forest
222,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
223,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
224,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
225,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Grassland
226,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
227,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Built-up
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Bareland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Wetland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Bareland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Built-up
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Water
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
