Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NCH_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
20,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
22,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
23,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
24,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
25,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
26,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
27,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
28,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
29,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
30,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
31,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
32,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,NULL,Forest
33,NULL,Water,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
34,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
35,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,NULL,Water
36,NULL,Water,Wetland,NULL,Wetland,Wetland,NULL,Water
37,NULL,Water,Wetland,NULL,Wetland,Wetland,NULL,Forest
38,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
39,NULL,Water,Wetland,NULL,Wetland,Wetland,Forest,Water
40,NULL,Water,Wetland,NULL,Wetland,Wetland,Forest,Forest
41,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
42,NULL,Water,Wetland,NULL,Wetland,Forest,NULL,Forest
43,NULL,Water,Wetland,Non_Water,Wetland,Wetland,NULL,Water
44,NULL,Water,Wetland,Non_Water,Wetland,Wetland,NULL,Forest
45,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
46,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
47,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Forest,Water
48,NULL,Water,Wetland,Non_Water,Wetland,Forest,Water,Water
49,NULL,Water,Wetland,Water,Wetland,Wetland,NULL,Water
50,NULL,Water,Water,NULL,Water,Wetland,NULL,Water
51,NULL,Water,Water,NULL,Water,Wetland,NULL,Forest
52,NULL,Water,Water,NULL,Water,Forest,NULL,Forest
53,NULL,Water,Water,Water,Water,Wetland,NULL,Bareland
54,NULL,Water,Water,Water,Water,Wetland,NULL,Water
55,NULL,Water,Water,Water,Water,Wetland,NULL,Forest
56,NULL,Water,Water,Water,Water,Wetland,Wetland,Water
57,NULL,Water,Water,Water,Water,Wetland,Water,Grassland
58,NULL,Water,Water,Water,Water,Wetland,Water,Water
59,NULL,Water,Water,Water,Water,Wetland,Forest,Water
60,NULL,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
61,NULL,Water,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
62,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
63,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
64,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
65,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Water,Water
66,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Water,Forest
67,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Water
68,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
69,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
70,NULL,Water,Forest,NULL,Non_Wetland,Forest,NULL,Forest
71,NULL,Water,Forest,NULL,Non_Wetland,Forest,Water,Forest
72,NULL,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
73,NULL,Water,Forest,Non_Water,Non_Wetland,Wetland,NULL,Water
74,NULL,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
75,NULL,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Water
76,NULL,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Bareland
