Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KPR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KPR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KPR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KPR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KPR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KPR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KPR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KPR_M_R
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Wetland
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Wetland
112,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
113,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
114,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
117,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
120,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Water
121,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
124,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
125,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
133,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
134,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Bareland
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
148,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
153,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Wetland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Built-up
156,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
157,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Built-up
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Cropland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Bareland,Water
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
174,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
175,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Grassland
176,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Bareland
177,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
178,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
179,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
180,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Water
181,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Forest
182,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
183,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Forest
184,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
185,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Water
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Cropland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Built-up
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Wetland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Built-up
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Built-up
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Wetland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Bareland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Water
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Bareland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Bareland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
