Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MLN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MLN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MLN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MLN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MLN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MLN_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
165,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Water
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Water
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
195,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,NULL
196,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
197,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
198,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
199,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Bareland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Built-up
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Water
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
