Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KVR_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Built-up
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Wetland
100,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
101,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
102,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
105,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
107,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
117,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
118,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
119,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
120,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
121,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
122,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
123,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
124,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
125,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
126,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
127,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
128,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
129,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
130,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
131,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
132,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
133,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
134,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
135,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
136,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
137,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
138,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
139,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
140,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
141,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,NULL
142,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
143,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
144,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
145,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
146,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Wetland
153,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
154,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
156,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
161,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
162,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
163,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
166,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,NULL
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Wetland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Wetland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Cropland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
274,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
275,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
276,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
277,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
278,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
279,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
280,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Forest
281,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
282,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,NULL
283,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
284,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
285,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
286,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
287,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
288,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
289,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
290,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
291,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,NULL
292,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
293,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
294,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
295,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
296,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
297,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
298,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
299,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
300,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
301,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
302,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
303,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
304,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
305,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
306,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
307,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
308,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,NULL
309,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
310,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
311,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
312,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Wetland
313,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
314,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Wetland
315,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
316,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
317,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
318,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
319,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
320,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
