Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MFU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
12,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
13,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
14,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
15,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
16,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
17,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
27,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
29,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
30,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
31,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
32,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
33,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
34,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
35,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
36,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
37,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
38,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
39,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
40,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
41,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
42,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
43,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
44,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
45,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
46,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
47,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
48,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Grassland
49,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
50,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
51,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Wetland,Forest
52,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
53,NULL,NULL,Water,Water,Water,Water,Water,Forest
54,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
