Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MGN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
17,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
18,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
19,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
22,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
24,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
25,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
27,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
29,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
31,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
34,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
36,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
37,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
38,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
39,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
40,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
41,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
42,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
43,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
44,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Bareland
45,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
46,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
47,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
48,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
49,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
50,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
51,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
52,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Grassland
53,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
54,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
55,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Bareland
56,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Grassland
57,NULL,NULL,Water,Non_Water,Water,Bareland,Water,Water
58,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
59,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
60,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
61,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
62,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
63,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
64,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
65,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
66,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Bareland
67,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
68,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
69,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
70,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
71,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
72,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
73,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
74,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
75,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
76,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
77,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
78,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Water
79,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
80,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
81,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
82,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
83,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
84,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
85,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
86,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
87,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
88,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
89,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
90,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
91,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
