Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MYV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
10,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
11,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
12,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
13,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
14,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
17,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
18,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Forest
19,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Built-up
22,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
23,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
24,NULL,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Grassland
25,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
26,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
27,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
28,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
29,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
30,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Forest
31,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
32,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water,Wetland,Grassland
33,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
34,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Wetland,Grassland
35,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Wetland,Built-up
36,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Wetland,Water
37,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
38,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
39,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
40,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
41,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
42,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
43,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
44,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
45,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
46,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
47,NULL,NULL,Forest,NULL,Non_Wetland,Water,NULL,Grassland
48,NULL,NULL,Forest,NULL,Non_Wetland,Water,NULL,Forest
49,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
