Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LFR_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Wetland
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Built-up
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
170,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
173,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
174,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
175,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
179,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Cropland
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
194,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
196,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Wetland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
241,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
242,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
243,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
244,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
245,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
246,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
247,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Wetland
248,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
249,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
250,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Grassland,Grassland
251,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Grassland
252,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
253,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
254,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
255,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Wetland
256,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Bareland
257,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
258,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
259,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
280,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
281,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
283,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Bareland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
287,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
290,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
294,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Cropland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
300,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Bareland
