Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NUD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NUD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NUD_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
4,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
5,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
6,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
7,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
8,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
9,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
10,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
11,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
12,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
13,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
14,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
15,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
16,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
17,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
18,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
19,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
20,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
21,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
22,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
23,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
24,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
25,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
26,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
27,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
28,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
29,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
30,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
31,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
32,NULL,Water,Water,NULL,Water,NULL,NULL,Water
33,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
34,NULL,Water,Water,Non_Water,Water,NULL,NULL,Forest
35,NULL,Water,Water,Water,Water,NULL,NULL,Water
36,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
37,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
38,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
39,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
40,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
41,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
42,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
43,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
44,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
45,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
46,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Water
47,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
48,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
49,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
50,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
51,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
52,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
53,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
54,Cropland,Water,Water,Non_Water,Water,NULL,NULL,Forest
55,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
56,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
57,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
58,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
59,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
60,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
61,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
62,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
63,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
64,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
65,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
66,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
67,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
68,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
69,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
70,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
71,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
72,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
73,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
74,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
75,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
76,Wetland,NULL,Water,NULL,Water,NULL,NULL,Water
77,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
78,Wetland,NULL,Water,Water,Water,NULL,NULL,Wetland
79,Wetland,NULL,Water,Water,Water,NULL,NULL,Bareland
80,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
81,Wetland,NULL,Water,Water,Water,NULL,NULL,Forest
82,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
83,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
84,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
85,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
86,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
87,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
88,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
89,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
90,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
91,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
92,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
93,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
94,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
95,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
96,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
97,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
98,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
99,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
100,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
101,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
102,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
103,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
104,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Bareland
105,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Water
106,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Forest
107,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Water
108,Wetland,Wetland,Water,Water,Water,NULL,NULL,Grassland
109,Wetland,Wetland,Water,Water,Water,NULL,NULL,Wetland
110,Wetland,Wetland,Water,Water,Water,NULL,NULL,Bareland
111,Wetland,Wetland,Water,Water,Water,NULL,NULL,Water
112,Wetland,Wetland,Water,Water,Water,NULL,NULL,Forest
113,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
114,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
115,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
116,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
117,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
