Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NBA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NBA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NBA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
6,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
7,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
8,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
9,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
10,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
11,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
12,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
13,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
14,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
15,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
16,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
17,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
18,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
19,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
20,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
21,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
22,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
23,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
24,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
25,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
26,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
27,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
28,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
29,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
30,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
31,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
32,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
33,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
34,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
35,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
36,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
37,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
38,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
39,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
40,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
41,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
42,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
43,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
44,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
45,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
46,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
47,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
48,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
49,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
