Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MDT_M_R
292,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
293,NULL,Forest,Bareland,Water,Non_Wetland,Water,Bareland,Water
294,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
295,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
296,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
297,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
298,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
299,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
300,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
301,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
302,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
303,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
304,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
305,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
306,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
307,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
308,NULL,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
309,NULL,Forest,Forest,NULL,Non_Wetland,Water,Bareland,Forest
310,NULL,Forest,Forest,NULL,Non_Wetland,Water,Water,Forest
311,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
312,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
313,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
314,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
315,NULL,Forest,Forest,Water,Non_Wetland,NULL,Bareland,Forest
316,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
317,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
318,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
319,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
320,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
321,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
322,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Water
323,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
324,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
325,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
326,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
327,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
328,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Water
329,Grassland,Water,Wetland,Water,Wetland,Bareland,Bareland,Water
330,Grassland,Water,Wetland,Water,Wetland,Water,Water,Water
331,Grassland,Water,Water,NULL,Water,NULL,NULL,Water
332,Grassland,Water,Water,Non_Water,Water,NULL,NULL,Water
333,Grassland,Water,Water,Water,Water,NULL,NULL,Water
334,Grassland,Water,Water,Water,Water,Water,Bareland,Grassland
335,Grassland,Water,Water,Water,Water,Water,Bareland,Water
336,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
337,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
338,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
339,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
340,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
341,Grassland,Forest,Wetland,Water,Wetland,Water,Water,Water
342,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
343,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
344,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
345,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
346,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
347,Cropland,NULL,Wetland,Water,Wetland,Water,Water,Water
348,Cropland,NULL,Water,Water,Water,NULL,NULL,Water
349,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
350,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
351,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Water
352,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
353,Cropland,Water,Water,NULL,Water,NULL,NULL,Water
354,Cropland,Water,Water,Water,Water,NULL,NULL,Water
355,Cropland,Water,Water,Water,Water,Bareland,Bareland,Water
356,Cropland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
357,Wetland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
358,Wetland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
359,Wetland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
360,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
361,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Water
362,Wetland,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
363,Wetland,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
364,Wetland,NULL,Wetland,Water,Wetland,Bareland,Bareland,Water
365,Wetland,NULL,Wetland,Water,Wetland,Bareland,Water,Water
366,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Water
367,Wetland,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
368,Wetland,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
369,Wetland,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Water
370,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
371,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Water
372,Wetland,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Grassland
373,Wetland,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Water
374,Wetland,NULL,Bareland,Water,Non_Wetland,Bareland,Water,Water
375,Wetland,NULL,Water,NULL,Water,Bareland,Bareland,Water
376,Wetland,NULL,Water,Water,Water,Bareland,Bareland,Grassland
377,Wetland,NULL,Water,Water,Water,Bareland,Bareland,Water
378,Wetland,NULL,Water,Water,Water,Bareland,Water,Water
379,Wetland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
380,Wetland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
381,Wetland,Wetland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
382,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
383,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
384,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
385,Wetland,Wetland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
386,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Bareland,Forest
387,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Bareland,Forest
388,Wetland,Wetland,Wetland,Non_Water,Wetland,Bareland,Wetland,Water
389,Wetland,Wetland,Wetland,Non_Water,Wetland,Bareland,Bareland,Water
390,Wetland,Wetland,Wetland,Water,Wetland,Bareland,Bareland,Water
391,Wetland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Bareland,Grassland
392,Wetland,Wetland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
393,Wetland,Wetland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
394,Wetland,Wetland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
395,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
396,Wetland,Wetland,Bareland,Water,Non_Wetland,Bareland,Bareland,Grassland
397,Wetland,Wetland,Bareland,Water,Non_Wetland,Bareland,Bareland,Water
398,Wetland,Wetland,Bareland,Water,Non_Wetland,Water,Bareland,Water
399,Wetland,Wetland,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Water
400,Wetland,Wetland,Water,NULL,Water,Bareland,Bareland,Grassland
401,Wetland,Wetland,Water,NULL,Water,Bareland,Bareland,Bareland
402,Wetland,Wetland,Water,NULL,Water,Bareland,Bareland,Water
403,Wetland,Wetland,Water,Non_Water,Water,Bareland,Bareland,Grassland
404,Wetland,Wetland,Water,Water,Water,Wetland,Bareland,Water
405,Wetland,Wetland,Water,Water,Water,Bareland,Bareland,Water
406,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
407,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
408,Wetland,Bareland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
409,Wetland,Bareland,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
410,Wetland,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
411,Wetland,Bareland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
412,Wetland,Bareland,Wetland,NULL,Wetland,Bareland,Bareland,Water
413,Wetland,Bareland,Wetland,Water,Wetland,Bareland,Bareland,Water
414,Wetland,Bareland,Wetland,Water,Wetland,Water,Water,Water
415,Wetland,Bareland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
416,Wetland,Bareland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Water
417,Wetland,Bareland,Bareland,Water,Non_Wetland,Bareland,Bareland,Water
418,Wetland,Bareland,Built-up,Water,Non_Wetland,Bareland,Bareland,Water
419,Wetland,Bareland,Water,NULL,Water,Bareland,Bareland,Water
420,Wetland,Bareland,Water,Water,Water,Bareland,Bareland,Water
421,Wetland,Bareland,Forest,Water,Non_Wetland,Bareland,Bareland,Water
422,Wetland,Built-up,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Water
423,Wetland,Water,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
424,Wetland,Water,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
425,Wetland,Water,NULL,NULL,Non_Wetland,Water,Bareland,Forest
426,Wetland,Water,NULL,Water,Non_Wetland,Bareland,Bareland,Water
427,Wetland,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
428,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
429,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Water
430,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Water
431,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Water,Bareland,Water
432,Wetland,Water,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
433,Wetland,Water,Wetland,NULL,Wetland,Wetland,Bareland,Water
434,Wetland,Water,Wetland,NULL,Wetland,Wetland,Bareland,Forest
435,Wetland,Water,Wetland,NULL,Wetland,Bareland,Bareland,Water
436,Wetland,Water,Wetland,NULL,Wetland,Bareland,Bareland,Forest
437,Wetland,Water,Wetland,Non_Water,Wetland,Bareland,Bareland,Water
438,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
439,Wetland,Water,Wetland,Water,Wetland,Bareland,Bareland,Water
440,Wetland,Water,Wetland,Water,Wetland,Bareland,Water,Water
441,Wetland,Water,Wetland,Water,Wetland,Water,Water,Water
442,Wetland,Water,Bareland,NULL,Non_Wetland,Bareland,Wetland,Water
443,Wetland,Water,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
444,Wetland,Water,Bareland,NULL,Non_Wetland,Bareland,Bareland,Water
445,Wetland,Water,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
446,Wetland,Water,Bareland,NULL,Non_Wetland,Water,Bareland,Water
447,Wetland,Water,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Water
448,Wetland,Water,Bareland,Non_Water,Non_Wetland,Water,Bareland,Water
449,Wetland,Water,Bareland,Water,Non_Wetland,Grassland,Bareland,Water
450,Wetland,Water,Bareland,Water,Non_Wetland,Bareland,Bareland,Water
451,Wetland,Water,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
452,Wetland,Water,Built-up,NULL,Non_Wetland,Bareland,Bareland,Water
453,Wetland,Water,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
454,Wetland,Water,Water,NULL,Water,Bareland,Bareland,Grassland
455,Wetland,Water,Water,NULL,Water,Bareland,Bareland,Water
456,Wetland,Water,Water,NULL,Water,Water,Bareland,Forest
457,Wetland,Water,Water,Non_Water,Water,Bareland,Bareland,Water
458,Wetland,Water,Water,Non_Water,Water,Water,Bareland,Water
459,Wetland,Water,Water,Water,Water,Bareland,Bareland,Water
460,Wetland,Water,Water,Water,Water,Bareland,Water,Water
461,Wetland,Water,Water,Water,Water,Bareland,Forest,Water
462,Wetland,Water,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
463,Wetland,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
464,Wetland,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
465,Wetland,Water,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
466,Wetland,Water,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Water
467,Wetland,Water,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
468,Wetland,Water,Forest,Water,Non_Wetland,Bareland,Bareland,Water
469,Wetland,Forest,Wetland,NULL,Wetland,Wetland,Bareland,Forest
470,Wetland,Forest,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
471,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
472,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
473,Bareland,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
474,Bareland,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
475,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
476,Bareland,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Water
477,Bareland,NULL,Wetland,Water,Wetland,Water,Water,Water
478,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
479,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
480,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Water
481,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
482,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Water
483,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Bareland
484,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Water
485,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
486,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
487,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
488,Bareland,NULL,Water,NULL,Water,Bareland,Bareland,Grassland
489,Bareland,NULL,Water,NULL,Water,Bareland,Bareland,Bareland
490,Bareland,NULL,Water,NULL,Water,Bareland,Bareland,Water
491,Bareland,NULL,Water,Non_Water,Water,Bareland,Bareland,Grassland
492,Bareland,NULL,Water,Water,Water,Bareland,Bareland,Water
493,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
494,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
495,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
496,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
497,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
498,Bareland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
499,Bareland,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Bareland
500,Bareland,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Water
501,Bareland,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Forest
502,Bareland,Wetland,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
503,Bareland,Wetland,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
504,Bareland,Wetland,NULL,Water,Non_Wetland,Bareland,Bareland,Water
505,Bareland,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
506,Bareland,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
507,Bareland,Wetland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
508,Bareland,Wetland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
509,Bareland,Wetland,Wetland,NULL,Wetland,NULL,Bareland,Forest
510,Bareland,Wetland,Wetland,NULL,Wetland,Grassland,Bareland,Forest
511,Bareland,Wetland,Wetland,NULL,Wetland,Wetland,Bareland,Water
512,Bareland,Wetland,Wetland,NULL,Wetland,Bareland,Bareland,Water
513,Bareland,Wetland,Wetland,NULL,Wetland,Bareland,Bareland,Forest
514,Bareland,Wetland,Wetland,NULL,Wetland,Water,Bareland,Forest
515,Bareland,Wetland,Wetland,NULL,Wetland,Forest,Bareland,Forest
516,Bareland,Wetland,Wetland,Non_Water,Wetland,Water,Bareland,Water
517,Bareland,Wetland,Wetland,Water,Wetland,Bareland,Bareland,Bareland
518,Bareland,Wetland,Wetland,Water,Wetland,Bareland,Bareland,Water
519,Bareland,Wetland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
520,Bareland,Wetland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
521,Bareland,Wetland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Water
522,Bareland,Wetland,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
523,Bareland,Wetland,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
524,Bareland,Wetland,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Water
525,Bareland,Wetland,Bareland,Non_Water,Non_Wetland,Water,Bareland,Water
526,Bareland,Wetland,Bareland,Water,Non_Wetland,Bareland,Bareland,Grassland
527,Bareland,Wetland,Bareland,Water,Non_Wetland,Bareland,Bareland,Water
528,Bareland,Wetland,Water,NULL,Water,Bareland,Bareland,Water
529,Bareland,Wetland,Water,Non_Water,Water,Bareland,Bareland,Water
530,Bareland,Wetland,Water,Water,Water,Bareland,Bareland,Grassland
531,Bareland,Wetland,Water,Water,Water,Bareland,Bareland,Bareland
532,Bareland,Wetland,Water,Water,Water,Bareland,Bareland,Water
533,Bareland,Wetland,Forest,NULL,Non_Wetland,NULL,Bareland,Grassland
534,Bareland,Wetland,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
535,Bareland,Wetland,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
536,Bareland,Wetland,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
537,Bareland,Wetland,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
538,Bareland,Wetland,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
539,Bareland,Wetland,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
540,Bareland,Wetland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
541,Bareland,Wetland,Forest,NULL,Non_Wetland,Water,Bareland,Water
542,Bareland,Wetland,Forest,NULL,Non_Wetland,Water,Bareland,Forest
543,Bareland,Wetland,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
544,Bareland,Wetland,Forest,Water,Non_Wetland,Bareland,Bareland,Water
545,Bareland,Bareland,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
546,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
547,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
548,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
549,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
550,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
551,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
552,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
553,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
554,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland,Water,Water
555,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
556,Bareland,Bareland,NULL,NULL,Non_Wetland,Water,Wetland,Forest
557,Bareland,Bareland,NULL,NULL,Non_Wetland,Water,Bareland,Forest
558,Bareland,Bareland,NULL,NULL,Non_Wetland,Water,Water,Forest
