Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KLB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KLB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KLB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KLB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KLB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KLB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KLB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KLB_M_R
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
32,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
33,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
35,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
36,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
37,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
42,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
43,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
44,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
49,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
50,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
51,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
52,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
53,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
54,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
55,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Built-up
56,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
57,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
58,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
59,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
60,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
61,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
62,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
63,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
64,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
65,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
66,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
67,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
68,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
69,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
70,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
71,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
72,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
73,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
74,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
75,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
76,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
77,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
78,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
79,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
80,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
81,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
82,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
83,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
84,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
85,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
86,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
87,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
88,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
89,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
90,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
91,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
92,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
93,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
94,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
95,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
96,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
97,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
98,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,NULL
99,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
100,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Cropland
101,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
102,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Water
103,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Forest
104,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,NULL
105,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Grassland
106,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Cropland
107,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Forest
108,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
109,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
110,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
111,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
112,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
113,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
114,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
115,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
116,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
117,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
118,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
119,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
120,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
121,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
122,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
123,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
124,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
125,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
126,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
127,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
128,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
129,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
130,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
131,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
132,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
133,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
134,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
135,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
136,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
137,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
138,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
139,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,NULL
140,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
141,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
142,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
143,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
144,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
145,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
146,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
147,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
148,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
149,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
150,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
151,NULL,NULL,Water,Water,Water,NULL,NULL,NULL
152,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
153,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
154,NULL,NULL,Water,Water,Water,NULL,NULL,Water
155,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
156,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
157,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
158,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
159,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
160,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
161,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
162,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
163,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
164,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
165,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
166,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
167,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
168,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
169,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
170,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
171,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
172,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
173,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
174,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
175,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
176,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
177,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
178,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
179,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
180,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
181,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
182,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
183,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
184,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,NULL
185,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
186,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
187,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
188,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
189,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
190,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
191,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
192,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
193,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
194,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
195,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
196,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
197,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
198,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
199,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
200,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
201,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
202,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
203,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
204,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
205,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
206,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
207,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
208,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
209,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
210,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
211,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
212,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,NULL
213,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
214,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Water
215,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
216,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
217,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
218,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
219,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
220,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
221,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
222,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
223,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
224,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
225,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
226,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Water
227,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
228,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
229,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Bareland
230,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
231,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
232,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
233,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
234,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
235,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
236,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
237,NULL,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,NULL
238,NULL,Cropland,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Grassland
239,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
240,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
241,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
242,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
243,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
244,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
245,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
246,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
247,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
248,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
249,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
250,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
251,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
252,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
253,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Water
254,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
255,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
256,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
257,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
258,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
259,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
260,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
261,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
262,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
263,NULL,Cropland,Water,NULL,Water,NULL,NULL,NULL
264,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
265,NULL,Cropland,Water,NULL,Water,NULL,NULL,Cropland
266,NULL,Cropland,Water,NULL,Water,NULL,NULL,Bareland
267,NULL,Cropland,Water,NULL,Water,NULL,NULL,Built-up
268,NULL,Cropland,Water,NULL,Water,NULL,NULL,Water
269,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
270,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
271,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Bareland
272,NULL,Cropland,Water,Water,Water,NULL,NULL,Grassland
273,NULL,Cropland,Water,Water,Water,NULL,NULL,Cropland
274,NULL,Cropland,Water,Water,Water,NULL,NULL,Bareland
275,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
276,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
277,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
278,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
279,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
280,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
281,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
282,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
283,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
284,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Cropland
285,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
286,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Forest
287,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
288,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
289,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
290,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
291,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
292,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
293,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
294,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
295,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
296,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
297,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
298,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
299,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
300,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
301,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
302,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
303,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
304,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
305,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
306,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
307,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
308,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
309,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
310,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
311,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
312,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
313,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
314,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
315,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
316,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
317,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
318,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
319,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
320,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
321,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
322,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
323,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
324,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
325,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
326,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
327,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
328,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
329,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
330,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
331,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Grassland
332,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
333,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
334,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
