Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KMC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KMC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KMC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KMC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KMC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KMC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KMC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KMC_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
32,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
33,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
47,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
48,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
49,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
50,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
51,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
52,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
53,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
54,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
55,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
56,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
57,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
58,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
59,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
60,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
61,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
62,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
63,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
64,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
65,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
66,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
67,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
68,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
69,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
70,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
71,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
72,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
73,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
74,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
75,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
76,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
77,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
78,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
79,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
80,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
81,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
82,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
83,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
84,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
85,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
86,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
87,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
88,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
89,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
90,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
91,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
92,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
93,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
94,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
95,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
96,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
97,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
98,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
99,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
100,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
101,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
102,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
103,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
104,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
105,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
106,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
107,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
108,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
109,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
110,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
111,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
112,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
113,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
114,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
115,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
116,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
117,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
118,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
119,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
120,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
121,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
122,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
123,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
124,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
125,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
126,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
127,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
128,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
129,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
130,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
131,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
132,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
133,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
134,NULL,NULL,Water,Water,Water,NULL,NULL,NULL
135,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
136,NULL,NULL,Water,Water,Water,NULL,NULL,Cropland
137,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
138,NULL,NULL,Water,Water,Water,NULL,NULL,Water
139,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
140,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
141,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
142,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
143,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
144,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
145,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
146,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
147,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
148,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
149,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
150,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
151,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
152,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
153,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
154,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
155,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
156,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
157,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
158,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
159,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
160,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
161,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
162,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
163,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
164,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
165,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
166,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
167,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
168,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
169,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
170,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
171,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
172,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
173,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
174,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
175,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
176,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
177,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
178,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
179,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
180,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
181,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
182,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
183,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
184,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
185,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
186,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
187,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
188,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
189,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
190,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
191,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
192,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
193,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
194,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
195,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
196,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
197,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
198,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
199,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
200,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
201,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
202,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
203,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
204,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
205,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
206,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
207,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
208,NULL,Cropland,Water,Water,Water,NULL,NULL,Forest
209,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
210,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
211,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
212,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
213,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
214,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
215,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
216,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
217,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
218,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
219,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
220,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
221,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
222,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
223,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
224,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
225,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
226,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
227,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
228,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
229,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
230,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
231,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
232,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
233,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
234,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
235,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
236,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
237,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
238,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
239,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
240,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
241,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
242,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
243,NULL,Bareland,Water,NULL,Water,NULL,NULL,Bareland
244,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
245,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
246,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
247,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
248,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
249,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
250,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
251,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
252,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Grassland
253,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Bareland
254,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Forest
255,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
256,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
257,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
258,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
259,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
260,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
261,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
262,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
263,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
264,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
265,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
266,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
267,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
268,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
269,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
270,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
271,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
272,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
273,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
274,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
275,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
276,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
277,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
278,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
279,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
280,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
281,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
282,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
283,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
284,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
285,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
286,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
287,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
288,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
289,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
290,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
291,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
292,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Bareland
293,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
294,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
295,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
296,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
297,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
298,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
299,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
300,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
301,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
302,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
303,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
304,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
305,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
306,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
307,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
308,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
309,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Forest
310,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
311,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
312,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
313,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
314,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
315,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
316,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
317,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
318,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
319,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
320,NULL,Built-up,Water,NULL,Water,NULL,NULL,Cropland
321,NULL,Built-up,Water,NULL,Water,NULL,NULL,Bareland
322,NULL,Built-up,Water,NULL,Water,NULL,NULL,Built-up
323,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
324,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
325,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
326,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
327,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
328,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
329,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
330,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
331,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
332,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
333,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
334,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
335,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
336,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
