Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LUR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LUR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LUR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LUR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LUR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LUR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
17,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
18,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Water
21,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
22,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
23,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
26,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
28,NULL,NULL,Grassland,NULL,Non_Wetland,Water
29,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
34,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
35,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
36,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
37,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
40,NULL,NULL,Cropland,NULL,Non_Wetland,Water
41,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
47,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
48,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
49,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
50,NULL,NULL,Cropland,Water,Non_Wetland,Water
51,NULL,NULL,Cropland,Water,Non_Wetland,Forest
52,NULL,NULL,Wetland,NULL,Wetland,Forest
53,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
54,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
55,NULL,NULL,Wetland,Non_Water,Wetland,Water
56,NULL,NULL,Wetland,Non_Water,Wetland,Forest
57,NULL,NULL,Wetland,Water,Wetland,Grassland
58,NULL,NULL,Wetland,Water,Wetland,Water
59,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
60,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
61,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
62,NULL,NULL,Bareland,NULL,Non_Wetland,Water
63,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
64,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
65,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
66,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
67,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
68,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
69,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
70,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
71,NULL,NULL,Bareland,Water,Non_Wetland,Water
72,NULL,NULL,Bareland,Water,Non_Wetland,Forest
73,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
74,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
75,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
76,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
77,NULL,NULL,Water,NULL,Water,Grassland
78,NULL,NULL,Water,NULL,Water,Bareland
79,NULL,NULL,Water,NULL,Water,Water
80,NULL,NULL,Water,NULL,Water,Forest
81,NULL,NULL,Water,Non_Water,Water,Grassland
82,NULL,NULL,Water,Non_Water,Water,Bareland
83,NULL,NULL,Water,Non_Water,Water,Water
84,NULL,NULL,Water,Non_Water,Water,Forest
85,NULL,NULL,Water,Water,Water,NULL
86,NULL,NULL,Water,Water,Water,Grassland
87,NULL,NULL,Water,Water,Water,Bareland
88,NULL,NULL,Water,Water,Water,Water
89,NULL,NULL,Water,Water,Water,Forest
90,NULL,NULL,Forest,NULL,Non_Wetland,NULL
91,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
92,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
93,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
94,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
95,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
96,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
97,NULL,NULL,Forest,NULL,Non_Wetland,Water
98,NULL,NULL,Forest,NULL,Non_Wetland,Forest
99,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
100,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
101,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
102,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
103,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
104,NULL,NULL,Forest,Water,Non_Wetland,Grassland
105,NULL,NULL,Forest,Water,Non_Wetland,Bareland
106,NULL,NULL,Forest,Water,Non_Wetland,Water
107,NULL,NULL,Forest,Water,Non_Wetland,Forest
108,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
109,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
110,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
111,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
112,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
113,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
114,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
115,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
116,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
117,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
118,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
119,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
120,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
121,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
