Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LKF_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Water
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
178,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
180,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Water
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
211,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
212,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
213,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,NULL
214,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Wetland
215,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Forest
216,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
217,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
218,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
219,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,NULL
220,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,NULL
221,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Forest
222,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,Forest
223,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,NULL
224,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
225,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Forest
226,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
227,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
228,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,NULL
229,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Forest
230,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Forest
231,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Cropland
232,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,NULL
233,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
234,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,NULL
235,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
236,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
237,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
238,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Forest
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Bareland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Wetland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Bareland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Water
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
