Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KPV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KPV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KPV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KPV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KPV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KPV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KPV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KPV_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Built-up
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Bareland
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Built-up
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Cropland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Water
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
189,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
190,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
191,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
192,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
193,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
194,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
195,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
197,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
198,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
199,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
200,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
201,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
202,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
203,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
204,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
205,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
206,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
207,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
208,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
209,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
210,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Bareland
211,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Water
212,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
213,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Water
214,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
215,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
216,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
217,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
218,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Water
219,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
220,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
221,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
222,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
223,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
224,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
225,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Bareland
226,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
227,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
228,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
229,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
230,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Built-up
231,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
232,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
233,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
234,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Bareland
235,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
236,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
237,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Bareland
238,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
239,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
240,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
241,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
242,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
243,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
244,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
249,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Water
253,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
255,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Water
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Bareland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
293,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
294,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
295,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Grassland
296,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Bareland
297,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Forest
298,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
299,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Water
300,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
301,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Water
302,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
303,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Bareland
304,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
305,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
306,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Bareland
307,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Water
308,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
309,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
310,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Bareland
311,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Water
312,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
313,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Bareland
314,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
315,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,NULL
316,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
317,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
318,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
319,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
320,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
321,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
322,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Grassland
323,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
324,NULL,NULL,NULL,Water,Non_Wetland,Water,Bareland,Bareland
325,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
326,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
330,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
331,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
332,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
333,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
