Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LWR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LWR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LWR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LWR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LWR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LWR_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
179,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Cropland
183,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
184,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
185,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,NULL
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
193,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Built-up
194,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
195,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Cropland
197,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
198,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Built-up
199,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Built-up
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Built-up
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Water
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
211,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
212,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
213,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
214,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
215,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Water
216,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
217,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Built-up
218,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
219,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,NULL
220,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Water
221,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
222,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
223,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
228,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
229,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
230,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Bareland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Water
234,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
235,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
236,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
241,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,NULL
242,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
245,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Bareland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Water
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Bareland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Bareland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Water
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Bareland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Water
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Water
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Bareland
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Wetland
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Water
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Cropland
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Bareland
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,NULL
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Grassland
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,NULL
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
328,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Bareland
