Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LLG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LLG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LLG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LLG_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Built-up
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Bareland
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Built-up
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
144,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
147,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
184,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
185,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
186,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
188,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
189,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
190,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
191,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
193,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
194,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
195,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
196,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
197,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
198,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
199,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
200,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
201,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
211,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
212,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
213,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
214,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
215,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
216,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Bareland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Forest
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
270,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Wetland
271,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Wetland
272,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Forest
273,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
274,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
275,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
276,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
277,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
278,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
279,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
280,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Forest
281,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
282,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
283,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
284,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
285,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,NULL
286,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
287,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
288,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Water
289,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
290,NULL,NULL,NULL,Water,Non_Wetland,Forest,Water,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
297,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
298,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
300,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Water
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
