Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MMP_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
132,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
135,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
136,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Water
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Built-up
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Forest
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Wetland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Bareland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Built-up
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Bareland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Bareland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Bareland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Built-up
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
