Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NXC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,NULL
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,NULL
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Bareland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Water
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,NULL
