Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KGD_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
141,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Water
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
160,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
166,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Cropland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Cropland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Water
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
189,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
190,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,NULL
191,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
192,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
193,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Wetland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Water
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Wetland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Cropland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Built-up
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Water
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Built-up
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Water
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
