Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NMJ_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Water
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
41,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Built-up
42,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
43,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
44,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
45,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
46,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
47,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
48,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
49,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
50,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
51,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
52,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
53,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
54,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
55,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
56,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
57,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
58,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
59,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Bareland
60,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
61,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
62,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Bareland
63,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
64,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
65,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
66,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
67,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
68,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
69,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
70,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
71,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
72,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
73,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Forest
74,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
75,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
76,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
77,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
78,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
79,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Bareland
80,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
81,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
82,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
83,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
84,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
85,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
86,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
87,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
88,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Grassland
89,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
90,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Forest
91,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
92,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
93,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
94,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
95,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Grassland
96,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
97,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Grassland
98,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
99,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
100,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
101,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
102,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
103,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Built-up
104,NULL,NULL,Water,NULL,Water,Grassland,Bareland,Bareland
105,NULL,NULL,Water,NULL,Water,Grassland,Bareland,Forest
106,NULL,NULL,Water,NULL,Water,Grassland,Forest,Grassland
107,NULL,NULL,Water,NULL,Water,Bareland,Wetland,Water
108,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Grassland
109,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Bareland
110,NULL,NULL,Water,NULL,Water,Water,Bareland,Forest
111,NULL,NULL,Water,Water,Water,Grassland,Bareland,Bareland
112,NULL,NULL,Water,Water,Water,Grassland,Bareland,Water
113,NULL,NULL,Water,Water,Water,Bareland,Bareland,Bareland
114,NULL,NULL,Water,Water,Water,Bareland,Bareland,Water
115,NULL,NULL,Water,Water,Water,Bareland,Bareland,Forest
116,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
117,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
118,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
119,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
120,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
121,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
122,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
123,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
124,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Forest
125,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
126,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
127,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Bareland
128,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
129,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
130,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
131,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
132,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
133,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
134,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
135,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
136,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
137,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
138,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Bareland
139,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Water
140,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
141,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
142,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
143,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
144,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
145,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
146,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
147,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
148,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
149,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
150,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Water
