Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MCC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
59,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
60,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
61,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
62,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
63,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
64,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
65,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
66,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Water
67,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
68,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
69,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
70,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
71,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
74,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
75,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
76,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
77,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
78,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
79,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
80,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
81,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
82,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Forest
83,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
