Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20PLQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PLQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PLQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PLQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PLQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20PLQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
9,NULL,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,NULL,Water,Non_Wetland,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
26,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
27,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
28,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
29,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
30,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
31,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
32,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up
33,NULL,NULL,Shrubland,Water,Non_Wetland,Water
34,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
36,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
37,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
38,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
39,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
40,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
41,NULL,NULL,Grassland,NULL,Non_Wetland,Water
42,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
49,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
50,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
51,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
52,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
53,NULL,NULL,Grassland,Water,Non_Wetland,Water
54,NULL,NULL,Grassland,Water,Non_Wetland,Forest
55,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
56,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
57,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
58,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
59,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
60,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
61,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
62,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
63,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
64,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
65,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
66,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
67,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
68,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
69,NULL,NULL,Wetland,NULL,Wetland,NULL
70,NULL,NULL,Wetland,NULL,Wetland,Grassland
71,NULL,NULL,Wetland,NULL,Wetland,Wetland
72,NULL,NULL,Wetland,NULL,Wetland,Bareland
73,NULL,NULL,Wetland,NULL,Wetland,Forest
74,NULL,NULL,Wetland,Non_Water,Wetland,NULL
75,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
76,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
77,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
78,NULL,NULL,Wetland,Non_Water,Wetland,Water
79,NULL,NULL,Wetland,Non_Water,Wetland,Forest
80,NULL,NULL,Wetland,Water,Wetland,Grassland
81,NULL,NULL,Wetland,Water,Wetland,Wetland
82,NULL,NULL,Wetland,Water,Wetland,Bareland
83,NULL,NULL,Wetland,Water,Wetland,Water
84,NULL,NULL,Wetland,Water,Wetland,Forest
85,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
86,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
87,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
88,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
89,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
90,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
91,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
92,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
93,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
94,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
95,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
96,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
97,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
98,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
99,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
100,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
101,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
102,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
103,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
104,NULL,NULL,Built-up,NULL,Non_Wetland,Water
105,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
106,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
107,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
108,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
109,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
110,NULL,NULL,Built-up,Water,Non_Wetland,NULL
111,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
112,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
113,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
114,NULL,NULL,Built-up,Water,Non_Wetland,Built-up
115,NULL,NULL,Built-up,Water,Non_Wetland,Water
116,NULL,NULL,Built-up,Water,Non_Wetland,Forest
117,NULL,NULL,Water,NULL,Water,Grassland
118,NULL,NULL,Water,NULL,Water,Bareland
119,NULL,NULL,Water,NULL,Water,Forest
120,NULL,NULL,Water,Non_Water,Water,Grassland
