Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NDF_M_R
29,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
30,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
31,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
32,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
33,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
34,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
35,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
36,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
37,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
38,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
39,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
40,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
41,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
42,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
43,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
45,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
46,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
47,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
48,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
49,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
50,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
51,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
52,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
53,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
54,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
55,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
56,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
57,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
58,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
59,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
60,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
61,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
62,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
63,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
64,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
65,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
66,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
67,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
68,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
69,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
70,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
71,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
72,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
73,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
74,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
75,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
76,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
77,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
78,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
79,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
80,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
81,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
82,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
83,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
84,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
85,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
86,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
87,NULL,Cropland,Water,Water,Water,NULL,NULL,Grassland
88,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
89,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
90,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
91,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
92,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
93,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
94,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
95,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
96,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
97,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
98,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
99,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
100,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
101,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
102,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
103,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
104,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
105,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
106,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
107,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
108,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
109,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
110,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
111,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
112,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
113,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
114,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
115,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
116,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
117,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
118,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
119,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
120,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
121,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
122,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
123,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
124,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
125,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
126,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
127,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
128,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
129,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
130,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
131,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
132,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
133,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
134,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
135,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
136,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
137,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
138,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
139,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
140,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
141,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
142,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
143,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
144,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
145,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
146,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
147,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
148,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
149,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
150,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
151,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
152,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
153,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
154,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
155,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
156,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
157,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
158,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
159,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
160,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
161,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
162,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
163,NULL,Water,Water,Non_Water,Water,NULL,NULL,Grassland
164,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
165,NULL,Water,Water,Water,Water,NULL,NULL,Wetland
166,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
167,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
168,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
169,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
170,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
171,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
172,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
173,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
174,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
175,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
176,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
177,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
178,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
179,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
180,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
181,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
182,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
183,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,NULL
184,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
185,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
186,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
187,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
188,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
189,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
190,NULL,Forest,Water,NULL,Water,NULL,NULL,Grassland
191,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
192,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
193,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
194,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
195,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
196,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
197,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
198,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
199,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
200,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
201,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
202,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
203,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
204,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
205,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
206,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
207,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
208,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
209,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
210,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
211,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
212,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
213,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
214,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
215,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
216,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
217,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
218,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
219,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
220,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
221,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
222,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
223,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
224,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
225,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
226,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
227,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
228,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
229,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
230,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
231,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
232,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
233,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
234,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
235,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
236,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
237,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
238,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
239,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
240,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
241,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
242,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
243,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
244,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
245,Grassland,NULL,Water,NULL,Water,NULL,NULL,Wetland
246,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
247,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
248,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
249,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
250,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
251,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
252,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
253,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
254,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
255,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
256,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
257,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
258,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
259,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
260,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
261,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
262,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
263,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
264,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
265,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
266,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
267,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
268,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
269,Grassland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
270,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
271,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
272,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
273,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
274,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
275,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
276,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
277,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
278,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
279,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
280,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
281,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
282,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
283,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
284,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
285,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
286,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
287,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
288,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
289,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
290,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
291,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
292,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
293,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
294,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
295,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
296,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
297,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
298,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
299,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
300,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
301,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
302,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
303,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
304,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
305,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
306,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
307,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
308,Grassland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
309,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
310,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
311,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
312,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
313,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
314,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
315,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
316,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
317,Grassland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
318,Grassland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
319,Grassland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
320,Grassland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
321,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
322,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
323,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
324,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
325,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
326,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
327,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
328,Grassland,Water,Water,NULL,Water,NULL,NULL,Grassland
329,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
330,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
331,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
332,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
333,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
334,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
335,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
336,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
337,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
338,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
