Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LYM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LYM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LYM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LYM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LYM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LYM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LYM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LYM_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
41,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
43,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
46,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
51,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
52,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
53,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
54,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
55,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
56,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
57,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
58,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
59,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
60,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
61,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
62,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
63,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
64,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
65,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
66,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
67,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
68,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
69,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
70,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
71,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
72,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
73,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
74,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
75,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
76,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
77,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
78,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
79,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
80,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
81,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
82,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
83,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
84,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
85,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
86,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
87,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
88,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
89,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
90,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
91,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
92,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
93,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
94,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
95,NULL,NULL,Water,Water,Water,NULL,NULL,Water
96,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
97,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
98,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
99,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
100,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
101,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
102,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
103,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
104,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
105,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
106,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
107,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
108,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
109,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
110,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
111,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
112,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
113,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
114,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
115,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
116,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
117,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Water
118,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
119,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
120,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
121,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
122,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
123,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
124,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Water
125,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
126,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
127,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
128,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
129,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
130,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
131,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
132,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
133,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
134,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
135,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
136,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
137,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
138,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
139,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
140,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
141,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
142,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
143,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
144,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Forest
145,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
146,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
147,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
148,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
149,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
150,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
151,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
152,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
153,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
154,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
155,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
156,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
157,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
158,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
159,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
160,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
161,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
162,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
163,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
164,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
165,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
166,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
167,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
168,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
169,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
170,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
171,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
172,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
173,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
174,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
175,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
176,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
177,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
178,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
179,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
180,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
181,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
182,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
183,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
184,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
185,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
186,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
187,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
188,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
189,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
190,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
191,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Forest
192,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
193,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
194,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
195,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
196,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
197,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
198,NULL,Bareland,Water,NULL,Water,NULL,NULL,Water
199,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Water
200,NULL,Bareland,Water,Water,Water,NULL,NULL,Grassland
201,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
202,NULL,Bareland,Water,Water,Water,NULL,NULL,Forest
203,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
204,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
205,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
206,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
207,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
208,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
209,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
210,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
211,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
212,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
213,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
214,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
215,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Forest
216,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
217,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
218,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
219,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
220,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
221,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
222,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
223,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Forest
224,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
225,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
226,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
227,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
228,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
229,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
230,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
231,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
232,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
233,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
234,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
235,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
236,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
237,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
238,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
239,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
240,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
241,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
242,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
243,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
244,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
245,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
246,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
247,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
248,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
249,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
250,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
251,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
252,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
253,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
254,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Water
255,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
256,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
257,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
258,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
259,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
260,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
261,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
262,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
263,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
264,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
265,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
266,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
267,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
268,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
269,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
270,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
271,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
272,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
273,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
274,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
275,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Built-up
276,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
277,NULL,Built-up,Water,Water,Water,NULL,NULL,Water
278,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
279,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
280,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
281,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
282,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
283,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
284,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
285,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
286,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Built-up
287,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
288,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
289,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
290,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
291,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
292,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
293,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
294,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
295,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
296,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
297,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
298,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
299,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Bareland
300,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
301,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
302,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
303,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
304,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
305,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
306,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
307,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
308,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
309,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
310,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
311,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
312,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
313,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
314,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
315,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
316,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
317,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
318,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
319,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
320,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
321,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
322,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
323,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
324,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
325,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
326,NULL,Water,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
327,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
328,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
329,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
330,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
331,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
332,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
333,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
334,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
335,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
336,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
337,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
338,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
