Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KWA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
