Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NDK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
7,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
15,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
16,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
22,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
