Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MQS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MQS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MQS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MQS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MQS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MQS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MQS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MQS_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Water
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Wetland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Cropland
127,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Built-up
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Built-up
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
144,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
145,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
147,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
151,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
152,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Bareland
153,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
156,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
159,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
160,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
163,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
184,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
185,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
186,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
188,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
189,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
190,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
191,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
193,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
194,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
195,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
197,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
198,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
199,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
200,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
201,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
202,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
203,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
204,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
205,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
206,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
207,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
208,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
209,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
210,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
211,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Wetland
212,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
213,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
214,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
215,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
216,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
217,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
218,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Wetland
219,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
220,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
221,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
222,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Bareland
223,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
224,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
225,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
226,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
227,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
228,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
229,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
230,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
231,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Built-up
232,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
233,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
234,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
235,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
236,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
237,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
238,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
239,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
240,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
241,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Wetland
242,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
243,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
244,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Water
245,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
246,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Cropland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
254,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Built-up
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Built-up,Forest
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Cropland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Wetland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Water
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Wetland
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Bareland
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Built-up,Grassland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,NULL
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Cropland
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,NULL
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Grassland
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Wetland
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Forest
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
