Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KZR_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
59,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
99,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
101,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
102,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
103,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Water
113,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
116,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
117,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
118,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
119,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
120,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
121,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
122,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
123,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
124,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
125,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
126,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
127,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
128,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
129,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
130,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
131,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
132,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
133,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
134,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
135,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
136,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,NULL
137,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
138,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
139,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
140,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
141,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
142,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
143,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
144,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
145,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
146,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Forest
155,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
156,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
157,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
158,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
159,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Wetland
160,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Water
161,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Forest
162,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
163,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
164,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Forest
165,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,NULL
166,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
167,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Forest
168,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
169,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Forest
170,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,NULL
171,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
172,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
173,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
174,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Built-up
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Cropland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Bareland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Cropland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
299,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
300,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
301,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,NULL
302,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
303,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
304,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Wetland
305,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Water
306,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Forest
307,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,NULL
308,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
309,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
310,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
311,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest,Grassland
312,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
313,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
314,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
315,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
316,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
317,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Forest
318,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
319,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
320,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
321,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
322,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
323,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,NULL
324,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
