Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KLE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KLE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KLE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KLE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KLE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KLE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KLE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KLE_M_R
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
32,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
34,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
35,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
36,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
42,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
43,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
49,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
50,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
51,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
52,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
53,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
54,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
55,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
56,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
57,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
58,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
59,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
60,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
61,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
62,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
63,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
64,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
65,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
66,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
67,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
68,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
69,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
70,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
71,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
72,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
73,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
74,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
75,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
76,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
77,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
78,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
79,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
80,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
81,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
82,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
83,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
84,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
85,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
86,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
87,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
88,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
89,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
90,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
91,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
92,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
93,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
94,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
95,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
96,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
97,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
98,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
99,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
100,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
101,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
102,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
103,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
104,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
105,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
106,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
107,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
108,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
109,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
110,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
111,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
112,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
113,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
114,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
115,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
116,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
117,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
118,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
119,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
120,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
121,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
122,NULL,NULL,Water,NULL,Water,NULL,NULL,Built-up
123,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
124,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
125,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
126,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
127,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
128,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
129,NULL,NULL,Water,Water,Water,NULL,NULL,NULL
130,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
131,NULL,NULL,Water,Water,Water,NULL,NULL,Cropland
132,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
133,NULL,NULL,Water,Water,Water,NULL,NULL,Water
134,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
135,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
136,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
137,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
138,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
139,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
140,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
141,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
142,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
143,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
144,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
145,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
146,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
147,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
148,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
149,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
150,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
151,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
152,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
153,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
154,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
155,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
156,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
157,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
158,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
159,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
160,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
161,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
162,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
163,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
164,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
165,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
166,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
167,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
168,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
169,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
170,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
171,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
172,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
173,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
174,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
175,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
176,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
177,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
178,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
179,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
180,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
181,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
182,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
183,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,NULL
184,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
185,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
186,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Water
187,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
188,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
189,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
190,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
191,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
192,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
193,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
194,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
195,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
196,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
197,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
198,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
199,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
200,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
201,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
202,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
203,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
204,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
205,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
206,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
207,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
208,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
209,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
210,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
211,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
212,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,NULL
213,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
214,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Water
215,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
216,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
217,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
218,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
219,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
220,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
221,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
222,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
223,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
224,NULL,Cropland,Water,NULL,Water,NULL,NULL,Cropland
225,NULL,Cropland,Water,NULL,Water,NULL,NULL,Bareland
226,NULL,Cropland,Water,NULL,Water,NULL,NULL,Water
227,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
228,NULL,Cropland,Water,Water,Water,NULL,NULL,Forest
229,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
230,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
231,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
232,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
233,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
234,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
235,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
236,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
237,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
238,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Water
239,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
240,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
241,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
242,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
243,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
244,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
245,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
246,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
247,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
248,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
249,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
250,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
251,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
252,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
253,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
254,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
255,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
256,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
257,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
258,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
259,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
260,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
261,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
262,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
263,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Water
264,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
265,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
266,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
267,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
268,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
269,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
270,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
271,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
272,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
273,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
274,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
275,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
276,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
277,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
278,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
279,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
280,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
281,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
282,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
283,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
284,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
285,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
286,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
287,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
288,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
289,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
290,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
291,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
292,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
293,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
294,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
295,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
296,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
297,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
298,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
299,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
300,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
301,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
302,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
303,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
304,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
305,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
306,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
307,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
308,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
309,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
310,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
311,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
312,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
313,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
314,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
315,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
316,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
317,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Water
318,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
319,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
320,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
321,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
322,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
323,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
324,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
325,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
326,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
327,NULL,Built-up,Water,NULL,Water,NULL,NULL,NULL
328,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
329,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
330,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
331,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
332,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
333,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
334,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
335,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
336,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
