Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LEL_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Water
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Built-up
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Built-up
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Water
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
148,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
150,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
151,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
166,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
168,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
170,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
171,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
174,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
175,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Water
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,NULL
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Forest
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,NULL
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Forest
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Forest
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Grassland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
259,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
260,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
261,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
262,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Wetland
263,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
264,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
265,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
266,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
267,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
268,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
269,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
270,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
271,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Wetland
272,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Wetland
273,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
274,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
275,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Water
276,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Forest
277,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
278,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
279,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
280,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
281,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Wetland
282,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Grassland
283,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
284,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
285,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
286,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
287,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
288,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
289,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
290,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
291,NULL,NULL,NULL,Water,Non_Wetland,Forest,Shrubland,Forest
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
297,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
298,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
300,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
303,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
