Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NFA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NFA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NFA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NFA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NFA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NFA_M_R
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
37,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
38,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
39,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
40,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Water
41,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
42,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Bareland
43,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
44,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
45,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Bareland
46,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Water
47,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
48,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Water
49,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
50,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
51,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
52,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
53,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
54,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
55,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
56,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
57,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Water,Forest
58,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
59,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
60,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
61,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
62,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
63,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
64,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
65,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
66,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
67,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
68,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
69,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Water
70,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
71,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
72,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
73,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
74,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
75,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
76,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
77,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
78,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
79,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Water
80,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
81,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
82,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
83,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
84,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
85,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
86,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
87,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
88,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
89,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
90,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
91,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
92,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
93,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
94,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
95,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
96,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Water
97,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
98,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Water
99,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Forest
100,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
101,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
102,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
103,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
104,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
105,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
106,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
107,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
108,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
109,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Wetland
110,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Water,Grassland
111,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
112,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Grassland
113,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
114,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Water
115,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
116,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
117,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
118,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Water
119,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
120,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
121,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Water
122,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Forest
123,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
124,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Water
125,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Grassland
126,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Water
127,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
128,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
129,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
130,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
131,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
132,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
133,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
134,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Wetland
135,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
136,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
137,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
138,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
139,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
140,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
141,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
142,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
143,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
144,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
145,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Water
146,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
147,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
148,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
149,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
150,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
151,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
152,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
153,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Wetland
154,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
155,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
156,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
157,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
158,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
159,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
160,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
161,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
162,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
163,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
164,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
165,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
166,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
167,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
168,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
169,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
170,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
171,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
172,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
173,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
174,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
175,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
176,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Bareland
177,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
178,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
179,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
180,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Bareland
181,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
182,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Bareland
183,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
184,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
185,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
186,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
187,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
188,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
189,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
190,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
191,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
192,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Bareland
193,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
194,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
195,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
196,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
197,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
198,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Forest
199,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
200,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
201,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Bareland
202,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
203,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
204,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
205,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
206,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Bareland
207,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
208,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
209,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
210,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
211,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Bareland
212,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
213,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
214,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
215,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
216,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
217,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
218,NULL,NULL,Wetland,Water,Wetland,Water,Water,Bareland
219,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
220,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,Forest
221,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Forest,Forest
222,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Water
223,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Wetland,Bareland
224,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Water
225,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,Grassland
226,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Water,Water
227,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
228,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Water,Water
229,NULL,NULL,Water,NULL,Water,Wetland,Wetland,NULL
230,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
231,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
232,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Water
233,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Forest
234,NULL,NULL,Water,NULL,Water,Wetland,Water,Grassland
235,NULL,NULL,Water,NULL,Water,Wetland,Water,Wetland
236,NULL,NULL,Water,NULL,Water,Wetland,Water,Water
237,NULL,NULL,Water,NULL,Water,Wetland,Water,Forest
238,NULL,NULL,Water,NULL,Water,Bareland,Forest,Forest
239,NULL,NULL,Water,NULL,Water,Water,Wetland,Grassland
240,NULL,NULL,Water,NULL,Water,Water,Wetland,Wetland
241,NULL,NULL,Water,NULL,Water,Water,Wetland,Water
242,NULL,NULL,Water,NULL,Water,Water,Wetland,Forest
243,NULL,NULL,Water,NULL,Water,Water,Water,Grassland
244,NULL,NULL,Water,NULL,Water,Water,Water,Wetland
245,NULL,NULL,Water,NULL,Water,Water,Water,Water
246,NULL,NULL,Water,NULL,Water,Water,Water,Forest
247,NULL,NULL,Water,Non_Water,Water,Grassland,Wetland,Grassland
248,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
249,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Wetland
250,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Water
251,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Grassland
252,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Wetland
253,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Water
254,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Forest
255,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Wetland
256,NULL,NULL,Water,Non_Water,Water,Water,Water,Grassland
257,NULL,NULL,Water,Non_Water,Water,Water,Water,Wetland
258,NULL,NULL,Water,Non_Water,Water,Water,Water,Water
259,NULL,NULL,Water,Water,Water,Grassland,Wetland,Grassland
260,NULL,NULL,Water,Water,Water,Grassland,Wetland,Wetland
261,NULL,NULL,Water,Water,Water,Grassland,Water,Wetland
262,NULL,NULL,Water,Water,Water,Grassland,Water,Water
263,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
264,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
265,NULL,NULL,Water,Water,Water,Wetland,Wetland,Water
266,NULL,NULL,Water,Water,Water,Wetland,Wetland,Forest
267,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
268,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
269,NULL,NULL,Water,Water,Water,Wetland,Water,Water
270,NULL,NULL,Water,Water,Water,Wetland,Water,Forest
271,NULL,NULL,Water,Water,Water,Bareland,Water,Grassland
272,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
273,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
274,NULL,NULL,Water,Water,Water,Water,Wetland,Water
275,NULL,NULL,Water,Water,Water,Water,Wetland,Forest
276,NULL,NULL,Water,Water,Water,Water,Water,Grassland
277,NULL,NULL,Water,Water,Water,Water,Water,Wetland
278,NULL,NULL,Water,Water,Water,Water,Water,Water
279,NULL,NULL,Water,Water,Water,Water,Water,Forest
280,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
281,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
282,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
283,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water,Forest
284,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
285,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
286,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
287,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
288,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
289,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
290,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
291,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
292,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
293,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
294,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
295,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
296,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
297,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
298,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
299,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
300,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
301,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
302,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
303,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
304,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
305,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
306,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
307,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Forest
308,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
309,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
310,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
311,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
312,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
313,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Grassland
314,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Wetland
315,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
316,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
317,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
318,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
319,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
320,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
321,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
322,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
323,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
324,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Wetland
325,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
326,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
327,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
328,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Water
329,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
330,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Water,Grassland
331,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Water,Wetland
332,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Water,Water
333,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Water
334,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Water
335,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
336,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
337,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,Water
338,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Water
339,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland,Water,Water
340,NULL,Wetland,Shrubland,Water,Non_Wetland,Water,Water,Water
341,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
342,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
343,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
344,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Forest
345,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
346,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
347,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
348,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Grassland
349,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Wetland
