Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LEE_M_R
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
38,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
40,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
41,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
43,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
46,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
51,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
52,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
53,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
54,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
55,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
56,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
57,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
58,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
59,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
60,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
61,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
62,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
63,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
64,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
65,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
66,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
67,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
68,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
69,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
70,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
71,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
72,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
73,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
74,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
75,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
76,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
77,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
78,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
79,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
80,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
81,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
82,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
83,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
84,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
85,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
86,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Forest
87,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
88,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
89,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
90,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
91,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
92,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
93,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
94,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
95,NULL,NULL,Water,Water,Water,NULL,NULL,Water
96,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
97,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
98,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
99,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
100,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
101,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
102,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
103,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
104,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
105,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
106,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
107,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
108,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
109,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
110,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
111,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
112,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
113,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
114,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
115,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
116,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
117,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
118,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
119,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
120,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
121,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
122,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
123,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
124,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
125,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
126,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
127,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
128,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
129,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
130,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
131,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
132,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
133,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
134,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
135,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
136,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
137,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
138,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
139,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
140,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
141,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
142,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
143,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
144,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
145,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
146,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
147,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
148,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
149,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
150,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
151,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
152,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
153,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
154,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
155,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
156,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
157,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Water
158,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
159,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
160,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
161,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
162,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
163,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
164,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
165,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
166,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
167,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
168,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
169,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
170,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
171,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
172,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
173,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
174,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
175,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Forest
176,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
177,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
178,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
179,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
180,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
181,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
182,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
183,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
184,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
185,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
186,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Water
187,NULL,Bareland,Water,NULL,Water,NULL,NULL,Grassland
188,NULL,Bareland,Water,NULL,Water,NULL,NULL,Bareland
189,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
190,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
191,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
192,NULL,Bareland,Water,Water,Water,NULL,NULL,Forest
193,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
194,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
195,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
196,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
197,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
198,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
199,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
200,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Forest
201,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
202,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
203,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
204,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
205,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
206,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
207,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
208,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
209,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
210,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
211,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
212,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
213,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
214,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
215,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
216,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
217,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
218,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
219,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
220,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
221,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
222,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
223,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
224,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
225,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
226,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
227,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
228,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
229,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
230,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
231,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
232,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
233,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
234,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
235,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
236,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
237,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
238,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
239,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
240,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
241,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
242,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
243,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
244,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
245,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
246,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
247,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
248,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
249,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
250,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
251,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
252,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
253,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
254,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
255,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
256,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
257,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
258,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
259,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
260,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
261,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
262,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
263,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
264,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
265,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
266,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
267,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
268,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
269,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
270,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
271,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
272,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
273,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
274,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
275,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
276,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
277,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
278,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Forest
279,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
280,NULL,Water,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
281,NULL,Water,Water,NULL,Water,NULL,NULL,Bareland
282,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
283,NULL,Water,Water,Non_Water,Water,NULL,NULL,Bareland
284,NULL,Water,Water,Non_Water,Water,NULL,NULL,Forest
285,NULL,Water,Water,Water,Water,NULL,NULL,Bareland
286,NULL,Water,Water,Water,Water,NULL,NULL,Water
287,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
288,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
289,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
290,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
291,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
292,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
293,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
294,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
295,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
296,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
297,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
298,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
299,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
300,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
301,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
302,NULL,Forest,NULL,Water,Non_Wetland,NULL,NULL,Bareland
303,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
304,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
305,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
306,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
307,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
308,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
309,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
310,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
311,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
312,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
313,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
314,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
315,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
316,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
317,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
318,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
319,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
320,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
321,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
322,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
323,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
324,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
325,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Bareland
326,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
327,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
328,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
329,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
330,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
331,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
332,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
333,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
334,NULL,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
335,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
336,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
337,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
338,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
