Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MVV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MVV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MVV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MVV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MVV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MVV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MVV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MVV_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Cropland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Water
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Built-up
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
171,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
174,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
179,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
183,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
200,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
201,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
205,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
206,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
210,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Cropland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Cropland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Cropland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Built-up
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,NULL,Grassland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Bareland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Wetland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,NULL
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Cropland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Grassland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Grassland
286,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
287,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
288,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
289,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
290,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
291,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,NULL
292,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
293,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Cropland
294,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
295,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Bareland
296,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,NULL
297,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
298,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
299,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
300,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Cropland
301,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
302,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
303,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
304,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,NULL
305,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
306,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Cropland
307,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,NULL
308,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,NULL
309,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
310,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Cropland
311,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
312,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Cropland
313,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Bareland
314,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
315,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
316,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
317,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,NULL
318,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
319,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Bareland
320,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Cropland
321,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,NULL
322,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Grassland
323,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,NULL
324,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Grassland
325,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
326,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
327,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Forest
328,NULL,NULL,NULL,Water,Non_Wetland,Forest,Shrubland,Forest
329,NULL,NULL,NULL,Water,Non_Wetland,Forest,Grassland,Grassland
330,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
