Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LRG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LRG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LRG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LRG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LRG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LRG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LRG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LRG_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Built-up
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
173,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
193,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
194,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
197,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
201,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
202,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Built-up,Grassland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Cropland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Forest
224,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
225,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
226,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
227,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
228,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
229,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
230,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
231,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
232,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Wetland
233,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
234,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
235,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
236,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
237,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
238,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Built-up,Grassland
239,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
240,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
241,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Wetland
242,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Grassland
243,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Wetland
244,NULL,NULL,NULL,Water,Non_Wetland,Forest,NULL,Wetland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Wetland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
280,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
281,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
284,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
285,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Cropland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Bareland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Bareland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Built-up
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
