Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NKG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NKG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NKG_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
27,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
28,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
32,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
35,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
36,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
37,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
38,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
39,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
40,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
41,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
42,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
43,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
46,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
47,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
48,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
49,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
