Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MDN_M_R
33,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
34,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
35,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
36,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
37,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Water
38,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
53,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
54,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
55,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
56,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
57,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
58,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
59,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
60,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
61,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
62,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
63,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
64,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
65,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
66,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
67,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
68,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
69,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
70,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Bareland
71,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
72,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
73,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
74,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
75,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
76,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
77,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Bareland
78,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
79,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
80,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
81,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
82,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
83,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Bareland,Grassland
84,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
85,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
86,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Bareland,Grassland
87,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Water
88,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
89,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
90,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
91,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
92,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
93,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
94,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
95,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Water
96,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
97,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
98,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
99,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
100,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
101,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
102,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
103,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
104,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
105,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
106,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
107,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
108,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Water
109,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
110,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
111,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
112,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
113,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
114,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
115,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
116,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
117,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
118,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
119,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Wetland,Grassland
120,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Wetland,Forest
121,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
122,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Water
123,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
124,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
125,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
126,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
127,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Bareland
128,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
129,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Wetland,Forest
130,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,Grassland
131,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,Forest
132,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
133,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
134,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
135,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
136,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Grassland,Grassland
137,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Grassland
138,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Water
139,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Water
140,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Grassland
141,NULL,NULL,Cropland,Water,Non_Wetland,Built-up,Bareland,Grassland
142,NULL,NULL,Cropland,Water,Non_Wetland,Built-up,Bareland,Forest
143,NULL,NULL,Cropland,Water,Non_Wetland,Built-up,Water,Grassland
144,NULL,NULL,Cropland,Water,Non_Wetland,Built-up,Water,Water
145,NULL,NULL,Cropland,Water,Non_Wetland,Water,Wetland,Grassland
146,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
147,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
148,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
149,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
150,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
151,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
152,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
153,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
154,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
155,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
156,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
157,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
158,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
159,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
160,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Forest
161,NULL,NULL,Wetland,NULL,Wetland,Built-up,Grassland,Forest
162,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
163,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
164,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
165,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Forest
166,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
167,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
168,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Forest
169,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
170,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
171,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
172,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
173,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
174,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Forest
175,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
176,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
177,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
178,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
179,NULL,NULL,Wetland,Water,Wetland,Bareland,Grassland,Grassland
180,NULL,NULL,Wetland,Water,Wetland,Bareland,Grassland,Forest
181,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
182,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Water
183,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
184,NULL,NULL,Wetland,Water,Wetland,Built-up,Water,Grassland
185,NULL,NULL,Wetland,Water,Wetland,Built-up,Water,Water
186,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
187,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
188,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
189,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
190,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
191,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
192,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
193,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
194,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
195,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
196,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
197,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
198,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
199,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
200,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
201,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Grassland
202,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
203,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
204,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
205,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
206,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
207,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
208,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
209,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
210,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
211,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
212,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
213,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
214,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Forest
215,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
216,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
217,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
218,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Forest
219,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
220,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Wetland,Grassland
221,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Wetland,Built-up
222,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Wetland,Forest
223,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
224,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
225,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Water
226,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
227,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
228,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
229,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Grassland
230,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Bareland
231,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Wetland,Forest
232,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Bareland,Bareland
233,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
234,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up,Wetland,Grassland
235,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up,Wetland,Built-up
236,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up,Bareland,Forest
237,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Grassland,Grassland
238,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Wetland,Grassland
239,NULL,NULL,Built-up,Water,Non_Wetland,Built-up,Wetland,Grassland
240,NULL,NULL,Built-up,Water,Non_Wetland,Built-up,Bareland,Grassland
241,NULL,NULL,Built-up,Water,Non_Wetland,Built-up,Water,Grassland
242,NULL,NULL,Built-up,Water,Non_Wetland,Water,Grassland,Grassland
243,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
244,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
245,NULL,NULL,Water,NULL,Water,Grassland,Wetland,Grassland
246,NULL,NULL,Water,NULL,Water,Grassland,Bareland,Grassland
247,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
248,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Water
249,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Grassland
250,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Grassland
251,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Bareland
252,NULL,NULL,Water,NULL,Water,Water,Grassland,Grassland
253,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Forest
254,NULL,NULL,Water,Water,Water,NULL,Wetland,Water
255,NULL,NULL,Water,Water,Water,Grassland,Grassland,Grassland
256,NULL,NULL,Water,Water,Water,Grassland,Grassland,Bareland
257,NULL,NULL,Water,Water,Water,Grassland,Wetland,Grassland
258,NULL,NULL,Water,Water,Water,Grassland,Wetland,Water
259,NULL,NULL,Water,Water,Water,Grassland,Water,Grassland
260,NULL,NULL,Water,Water,Water,Wetland,Grassland,Grassland
261,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
262,NULL,NULL,Water,Water,Water,Wetland,Wetland,Water
263,NULL,NULL,Water,Water,Water,Bareland,Grassland,Grassland
264,NULL,NULL,Water,Water,Water,Bareland,Grassland,Water
265,NULL,NULL,Water,Water,Water,Bareland,Wetland,Water
266,NULL,NULL,Water,Water,Water,Bareland,Bareland,Water
267,NULL,NULL,Water,Water,Water,Built-up,Bareland,Grassland
268,NULL,NULL,Water,Water,Water,Built-up,Water,Grassland
269,NULL,NULL,Water,Water,Water,Water,Grassland,Grassland
270,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
271,NULL,NULL,Water,Water,Water,Water,Wetland,Water
272,NULL,NULL,Water,Water,Water,Water,Water,Water
273,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
274,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
275,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
276,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
277,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
278,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
279,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
280,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
281,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
282,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
283,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
284,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
285,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
286,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
287,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
288,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
289,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
290,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
291,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
292,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
293,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
294,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
295,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
296,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
297,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Wetland,Grassland
298,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Wetland,Forest
299,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
300,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
301,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
302,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Grassland
303,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Water
304,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
305,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
306,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
307,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
308,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
309,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
310,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
311,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
312,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
313,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
314,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Grassland,Grassland
315,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Grassland,Forest
316,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
317,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Grassland,Grassland
318,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Wetland,Grassland
319,NULL,NULL,Forest,Water,Non_Wetland,Built-up,Grassland,Grassland
320,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Grassland
321,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Water
322,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
323,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
324,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
325,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
326,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
327,NULL,Cropland,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
328,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
329,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
330,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
331,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
332,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
333,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
334,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
335,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
336,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
