Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KGG_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Water
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Built-up
165,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
189,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
194,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Bareland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Water
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
207,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
208,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
209,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
210,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
211,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
212,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
213,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
214,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Wetland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Water
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Water
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Cropland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Water
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Water
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Water
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
