Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KCD_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Water
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Bareland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Bareland
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Water
136,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
137,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
150,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
152,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Cropland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Water
157,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,NULL
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,NULL
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
183,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
184,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
185,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Water
186,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,NULL
187,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
188,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
189,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Water
190,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Bareland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Built-up
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Wetland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Water
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Wetland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Bareland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Built-up
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Bareland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Water
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
