Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LQH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LQH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LQH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LQH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LQH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LQH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LQH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LQH_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Built-up
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Bareland
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Water,Bareland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
172,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
175,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,NULL
184,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
185,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Wetland
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,NULL
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Grassland
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
210,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Built-up
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
222,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
223,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
227,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,NULL
228,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
232,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Bareland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Bareland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Bareland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Bareland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Bareland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,NULL
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Bareland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Bareland,Bareland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Built-up
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Water
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Water
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Cropland
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Bareland
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Water
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Forest
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,NULL
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Cropland
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Bareland
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Forest
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,NULL
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Grassland
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Bareland
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Built-up,Grassland
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,NULL
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
