Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LDP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LDP_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Built-up
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Wetland
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Built-up
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
150,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
165,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Water
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Wetland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
201,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
202,NULL,NULL,NULL,Water,Non_Wetland,NULL,Forest,Grassland
203,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
204,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Wetland
205,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Forest
206,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,NULL
207,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Grassland
208,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Wetland
209,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Forest
210,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,Forest
211,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
212,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
213,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
214,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
215,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
216,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
217,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Bareland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Built-up
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Bareland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
