Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LML_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LML_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LML_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LML_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LML_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LML_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LML_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LML_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Wetland
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
24,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
25,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
26,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
27,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
28,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
