Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LGK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
46,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
47,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
48,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
49,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
50,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
51,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
52,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
53,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
54,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
55,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
56,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Forest
57,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
58,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
59,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
60,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
81,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
82,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
83,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
84,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
85,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
86,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
87,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
88,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
89,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
90,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
91,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
92,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
93,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
94,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
95,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
96,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
97,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Water
98,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
99,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
100,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
101,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
102,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Cropland
103,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
104,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
105,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
106,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
107,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
108,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
109,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
110,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
111,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
112,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
113,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Cropland
114,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
115,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
116,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
117,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
118,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
119,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
120,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
121,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
122,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Bareland
123,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
124,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
125,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
126,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Forest
127,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
128,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,NULL,Grassland
129,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
130,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
131,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
132,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
133,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
134,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
135,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
136,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Bareland
137,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Water
138,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
139,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
140,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
141,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
142,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
143,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
144,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
145,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
146,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Wetland
147,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Forest
148,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Bareland,Grassland
149,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
150,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
151,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Water
152,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
153,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Water,Grassland
154,NULL,NULL,Grassland,Water,Non_Wetland,Water,Grassland,Grassland
155,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
156,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Grassland
157,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
158,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
159,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
160,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
161,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
162,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
163,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
164,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
165,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
166,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
167,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
168,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
169,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
170,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
171,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
172,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Bareland
173,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
174,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
175,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
176,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
177,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
178,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
179,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
180,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
181,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
182,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
183,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
184,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Water
185,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
186,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
187,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
188,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
189,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
190,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
191,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
192,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
193,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
194,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
195,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
196,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Bareland
197,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Water
198,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
199,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Bareland
200,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
201,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
202,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
203,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
204,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
205,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
206,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
207,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Water
208,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
209,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,Bareland
210,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,Forest
211,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
212,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
213,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
214,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
215,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
216,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
217,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
218,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Water
219,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
220,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Water,Bareland
221,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Water,Water
222,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,NULL,Water
223,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Grassland
224,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Wetland
225,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Bareland
226,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Grassland
227,NULL,NULL,Cropland,Water,Non_Wetland,Water,Grassland,Grassland
228,NULL,NULL,Cropland,Water,Non_Wetland,Water,Water,Grassland
229,NULL,NULL,Cropland,Water,Non_Wetland,Water,Water,Bareland
230,NULL,NULL,Cropland,Water,Non_Wetland,Water,Water,Forest
231,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
232,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
233,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
234,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
235,NULL,NULL,Wetland,NULL,Wetland,Built-up,Grassland,Grassland
236,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
237,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
238,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
239,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Water
240,NULL,NULL,Wetland,Water,Wetland,Grassland,Bareland,Water
241,NULL,NULL,Wetland,Water,Wetland,Bareland,Grassland,Water
242,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
243,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water,Grassland,Grassland
244,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
245,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
246,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
247,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
248,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,Grassland
249,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
250,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
251,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Water
252,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
253,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
254,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Grassland
255,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Forest
256,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Water
257,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Grassland
