Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KFA_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
65,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
78,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
79,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Built-up
81,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
85,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
95,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
96,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
97,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
98,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
99,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
100,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
101,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
102,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
103,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
104,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
105,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
106,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
110,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
111,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
115,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
119,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Built-up
122,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
123,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
124,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
127,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
128,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
131,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
133,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
134,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Built-up
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Built-up
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Cropland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Wetland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Cropland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Wetland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Cropland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
224,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
225,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
226,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
227,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
228,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
229,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,NULL
230,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
231,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
232,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
233,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
234,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Water
235,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
236,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
237,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
238,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Grassland
239,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
240,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Water
241,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
242,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
243,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
244,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
245,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
246,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
247,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
248,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
249,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
250,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
251,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
252,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
253,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
254,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
255,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
256,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
257,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
258,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
259,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
260,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
261,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
262,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
263,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
264,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
265,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
266,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
267,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Cropland
268,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
269,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
270,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
271,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
272,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
273,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
274,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
275,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
276,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Cropland
277,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Built-up
278,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
279,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
280,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
281,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Bareland
282,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Built-up
283,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
284,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,NULL
285,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
286,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
287,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Bareland
288,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Built-up
289,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Water
290,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
291,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Forest
292,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
293,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Cropland
294,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Bareland
295,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
296,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
297,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Cropland
298,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
299,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
300,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
301,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
302,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
303,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
304,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
305,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
306,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
307,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
308,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
309,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
310,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
311,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
312,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
313,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
314,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
315,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
316,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
317,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
318,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
319,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
320,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
321,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
322,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
323,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
324,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
