Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24KUC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KUC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24KUC_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Water
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
64,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Wetland
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
83,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
102,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
103,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Wetland
107,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
110,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
113,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Wetland
114,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
115,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
116,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
120,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
121,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
122,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
126,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
127,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
130,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
138,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
139,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
140,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
141,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
142,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
143,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
144,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
145,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
146,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
167,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
168,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
169,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
170,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
171,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
172,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Wetland
173,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Bareland
174,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
175,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Wetland
176,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Water
177,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Forest
178,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
179,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
180,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
181,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Bareland
182,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
183,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
184,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
185,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Forest
186,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Grassland
187,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Wetland
188,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
189,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
190,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Bareland
191,NULL,NULL,NULL,Water,Non_Wetland,Forest,Wetland,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Bareland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Wetland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Wetland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Wetland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Water
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Cropland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Wetland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Wetland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Wetland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Wetland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Bareland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Cropland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Wetland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Wetland
