Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KXT_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
122,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
123,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
125,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
130,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
143,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
144,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
145,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
146,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Wetland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Forest
165,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
166,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Wetland
167,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
168,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
169,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Wetland
170,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Forest
171,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Wetland
172,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
173,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Wetland
174,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
175,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Wetland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Wetland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Wetland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Wetland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
