Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KMP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Bareland
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Built-up
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
40,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
41,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
42,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
43,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
44,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Forest
45,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
46,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
47,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
48,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
49,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
50,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Forest
