Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NMN_M_R
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL
32,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland
33,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Cropland
34,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland
35,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland
36,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Built-up
37,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water
38,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Forest
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Cropland
42,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland
43,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland
44,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up
45,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Water
46,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland
49,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Bareland
50,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Water
51,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Forest
52,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL
53,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Grassland
54,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Wetland
55,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Bareland
56,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Water
57,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Forest
58,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL
59,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
60,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Cropland
61,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland
62,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland
63,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up
64,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
65,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland
66,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Forest
67,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Grassland
68,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Wetland
69,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Bareland
70,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Water
71,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Forest
72,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL
73,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland
74,NULL,NULL,Wetland,NULL,Wetland,NULL,Cropland
75,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland
76,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland
77,NULL,NULL,Wetland,NULL,Wetland,NULL,Water
78,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest
79,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL
80,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Grassland
81,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland
82,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Bareland
83,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Water
84,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Forest
85,NULL,NULL,Wetland,Water,Wetland,NULL,NULL
86,NULL,NULL,Wetland,Water,Wetland,NULL,Grassland
87,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland
88,NULL,NULL,Wetland,Water,Wetland,NULL,Bareland
89,NULL,NULL,Wetland,Water,Wetland,NULL,Water
90,NULL,NULL,Wetland,Water,Wetland,NULL,Forest
91,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL
92,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland
93,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland
94,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Bareland
95,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Built-up
96,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Water
97,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Forest
98,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Grassland
99,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Bareland
100,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Grassland
101,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Wetland
102,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Bareland
103,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Water
104,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL
105,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland
106,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland
107,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up
108,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Forest
109,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL
110,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Grassland
111,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Bareland
112,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Forest
113,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL
114,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Grassland
115,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Bareland
116,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Forest
117,NULL,NULL,Water,NULL,Water,NULL,Grassland
118,NULL,NULL,Water,NULL,Water,NULL,Wetland
119,NULL,NULL,Water,NULL,Water,NULL,Bareland
120,NULL,NULL,Water,NULL,Water,NULL,Water
121,NULL,NULL,Water,NULL,Water,NULL,Forest
122,NULL,NULL,Water,Non_Water,Water,NULL,Grassland
123,NULL,NULL,Water,Non_Water,Water,NULL,Wetland
124,NULL,NULL,Water,Non_Water,Water,NULL,Bareland
125,NULL,NULL,Water,Non_Water,Water,NULL,Water
126,NULL,NULL,Water,Non_Water,Water,NULL,Forest
127,NULL,NULL,Water,Water,Water,NULL,Grassland
128,NULL,NULL,Water,Water,Water,NULL,Wetland
129,NULL,NULL,Water,Water,Water,NULL,Bareland
130,NULL,NULL,Water,Water,Water,NULL,Water
131,NULL,NULL,Water,Water,Water,NULL,Forest
132,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL
133,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
134,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Cropland
135,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland
136,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland
137,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Built-up
138,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water
139,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest
140,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL
141,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland
142,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland
143,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Water
144,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest
145,NULL,NULL,Forest,Water,Non_Wetland,NULL,Grassland
146,NULL,NULL,Forest,Water,Non_Wetland,NULL,Cropland
147,NULL,NULL,Forest,Water,Non_Wetland,NULL,Wetland
148,NULL,NULL,Forest,Water,Non_Wetland,NULL,Water
149,NULL,NULL,Forest,Water,Non_Wetland,NULL,Forest
150,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland
151,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Cropland
152,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland
153,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland
154,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Built-up
155,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest
156,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland
157,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Cropland
158,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Wetland
159,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Forest
160,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,Grassland
161,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland
162,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Cropland
163,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest
164,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Grassland
165,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,Forest
166,NULL,Cropland,Wetland,Water,Wetland,NULL,Grassland
167,NULL,Cropland,Wetland,Water,Wetland,NULL,Forest
168,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,Grassland
169,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,Forest
170,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland
171,NULL,Cropland,Water,Water,Water,NULL,Wetland
172,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland
173,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Cropland
174,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Forest
175,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,Grassland
176,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Grassland
177,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Bareland
178,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,Water
179,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL
180,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Grassland
181,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Wetland
182,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Bareland
183,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Water
184,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Forest
185,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
186,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
187,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
188,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Water
189,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Forest
190,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Grassland
191,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Wetland
192,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Water
193,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Forest
194,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Grassland
195,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Wetland
196,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Water
197,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Forest
198,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Grassland
199,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Wetland
200,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Water
201,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Forest
202,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Grassland
203,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Wetland
204,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Water
205,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Forest
206,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Grassland
207,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Grassland
208,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,Water
209,NULL,Wetland,Wetland,NULL,Wetland,NULL,Grassland
210,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland
211,NULL,Wetland,Wetland,NULL,Wetland,NULL,Water
212,NULL,Wetland,Wetland,NULL,Wetland,NULL,Forest
213,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Grassland
214,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Wetland
215,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Bareland
216,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Water
217,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Forest
218,NULL,Wetland,Wetland,Water,Wetland,NULL,Grassland
219,NULL,Wetland,Wetland,Water,Wetland,NULL,Wetland
220,NULL,Wetland,Wetland,Water,Wetland,NULL,Water
221,NULL,Wetland,Wetland,Water,Wetland,NULL,Forest
222,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,Grassland
223,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,Bareland
224,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,Grassland
225,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,Grassland
226,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,Bareland
227,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,Grassland
228,NULL,Wetland,Water,NULL,Water,NULL,Grassland
229,NULL,Wetland,Water,NULL,Water,NULL,Wetland
230,NULL,Wetland,Water,NULL,Water,NULL,Bareland
231,NULL,Wetland,Water,NULL,Water,NULL,Water
232,NULL,Wetland,Water,NULL,Water,NULL,Forest
233,NULL,Wetland,Water,Non_Water,Water,NULL,Grassland
234,NULL,Wetland,Water,Non_Water,Water,NULL,Wetland
235,NULL,Wetland,Water,Non_Water,Water,NULL,Water
236,NULL,Wetland,Water,Non_Water,Water,NULL,Forest
237,NULL,Wetland,Water,Water,Water,NULL,Grassland
238,NULL,Wetland,Water,Water,Water,NULL,Wetland
239,NULL,Wetland,Water,Water,Water,NULL,Water
240,NULL,Wetland,Water,Water,Water,NULL,Forest
241,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL
242,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland
243,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland
244,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Water
245,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Forest
246,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Grassland
247,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Wetland
248,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Water
249,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Forest
250,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Grassland
251,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Wetland
252,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Water
253,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Forest
254,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,Bareland
255,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,Grassland
256,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,Bareland
257,NULL,Bareland,NULL,Water,Non_Wetland,NULL,Grassland
258,NULL,Bareland,NULL,Water,Non_Wetland,NULL,Bareland
259,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Grassland
260,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Wetland
261,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Bareland
262,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Water
263,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Forest
264,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
265,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
266,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Grassland
267,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Wetland
268,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Bareland
269,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Water
270,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Forest
271,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,Grassland
272,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,Wetland
273,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,Water
274,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,Forest
275,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,Grassland
276,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,Bareland
277,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,Water
278,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,Forest
279,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,Grassland
280,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,Wetland
281,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,Bareland
282,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,Water
283,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,Forest
284,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,Grassland
285,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,Bareland
286,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,Bareland
287,NULL,Bareland,Wetland,NULL,Wetland,NULL,Grassland
288,NULL,Bareland,Wetland,NULL,Wetland,NULL,Water
289,NULL,Bareland,Wetland,NULL,Wetland,NULL,Forest
290,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,Grassland
291,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,Wetland
292,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,Water
293,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,Forest
294,NULL,Bareland,Wetland,Water,Wetland,NULL,Grassland
295,NULL,Bareland,Wetland,Water,Wetland,NULL,Wetland
296,NULL,Bareland,Wetland,Water,Wetland,NULL,Bareland
297,NULL,Bareland,Wetland,Water,Wetland,NULL,Water
298,NULL,Bareland,Wetland,Water,Wetland,NULL,Forest
299,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,Grassland
300,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,Bareland
301,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,Grassland
302,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,Grassland
303,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,Bareland
304,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,Bareland
305,NULL,Bareland,Water,NULL,Water,NULL,Grassland
306,NULL,Bareland,Water,NULL,Water,NULL,Bareland
307,NULL,Bareland,Water,NULL,Water,NULL,Forest
308,NULL,Bareland,Water,Non_Water,Water,NULL,Water
309,NULL,Bareland,Water,Water,Water,NULL,Grassland
310,NULL,Bareland,Water,Water,Water,NULL,Wetland
311,NULL,Bareland,Water,Water,Water,NULL,Bareland
312,NULL,Bareland,Water,Water,Water,NULL,Water
313,NULL,Bareland,Water,Water,Water,NULL,Forest
314,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,Grassland
315,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,Wetland
316,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,Bareland
317,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,Forest
318,NULL,Bareland,Forest,Water,Non_Wetland,NULL,Grassland
319,NULL,Bareland,Forest,Water,Non_Wetland,NULL,Wetland
320,NULL,Bareland,Forest,Water,Non_Wetland,NULL,Water
321,NULL,Bareland,Forest,Water,Non_Wetland,NULL,Forest
322,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland
323,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Bareland
324,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up
325,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Forest
326,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,Grassland
327,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,Bareland
328,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,Built-up
329,NULL,Built-up,NULL,Water,Non_Wetland,NULL,Grassland
330,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL
331,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland
332,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Cropland
333,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland
334,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up
335,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Water
336,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest
337,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL
338,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
339,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
340,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Built-up
341,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Water
342,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Forest
343,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Grassland
344,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Wetland
345,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Bareland
346,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Water
347,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Forest
348,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland
349,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Bareland
350,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up
351,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Water
352,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest
353,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,Grassland
354,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,Forest
355,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,Grassland
356,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,Wetland
357,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,Water
358,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,Forest
359,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland
360,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland
361,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up
362,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Forest
363,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,Forest
364,NULL,Built-up,Wetland,NULL,Wetland,NULL,Grassland
365,NULL,Built-up,Wetland,NULL,Wetland,NULL,Forest
366,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,Bareland
367,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,Built-up
368,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,Forest
369,NULL,Built-up,Wetland,Water,Wetland,NULL,Grassland
370,NULL,Built-up,Wetland,Water,Wetland,NULL,Wetland
371,NULL,Built-up,Wetland,Water,Wetland,NULL,Forest
372,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL
373,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Grassland
374,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Bareland
375,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Built-up
376,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Water
377,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Forest
378,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,Grassland
379,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,Bareland
380,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,Bareland
381,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland
