Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KNS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KNS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KNS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KNS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KNS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KNS_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Built-up
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Water,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Water,Cropland
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
144,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Built-up
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Bareland
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
185,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
188,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
190,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Water
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Water,Grassland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Bareland,Built-up
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Wetland
222,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
223,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
224,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Forest
225,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Bareland
226,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
227,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
228,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Wetland
229,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
230,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
231,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
232,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
233,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
234,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Grassland,Grassland
235,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
236,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Water
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Cropland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Wetland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
