Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MXT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
9,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
10,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
11,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
12,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
13,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
14,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
16,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
17,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
18,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
19,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
20,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
21,NULL,NULL,Water,Water,Water,NULL,NULL,Water
22,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
23,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
24,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
25,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
26,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
27,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
28,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
29,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
30,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
31,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
32,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
33,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
34,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
35,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
36,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
37,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
38,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
39,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
40,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
41,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
42,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
43,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
44,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
45,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
46,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
