Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LNP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LNP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LNP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LNP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LNP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LNP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LNP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LNP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
34,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
