Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KEF_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Water
65,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Water,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Built-up
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Bareland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Built-up
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Water
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
127,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
134,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
135,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
136,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
137,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
138,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
139,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
140,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
141,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
142,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
143,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
144,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
145,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Cropland
146,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
147,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
148,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
150,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Wetland,Wetland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Wetland,Forest
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Cropland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,NULL
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Cropland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Water
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,NULL
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Water
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
190,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
191,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
192,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Cropland
193,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
194,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
195,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Wetland
196,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Water
197,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
198,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
199,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
200,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,NULL
201,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
202,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
203,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
204,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
205,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
206,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Water
207,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Bareland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Built-up
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,NULL
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Cropland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Wetland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
