Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LGH_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Built-up
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Water
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Water
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Bareland
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
189,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
190,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
191,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
192,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
193,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
194,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
195,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
196,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
197,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
198,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
199,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
200,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
201,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
202,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
203,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
204,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Built-up
205,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
206,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
211,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Water
212,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
213,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
214,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
215,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
216,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Built-up
217,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
218,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
219,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
220,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
221,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
222,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Water
223,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
224,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
225,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
226,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
227,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
228,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,NULL
229,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
230,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
231,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
232,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
233,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
234,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Built-up
235,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
236,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
237,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
238,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
241,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
242,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
252,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
253,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
254,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
255,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
256,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
257,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
258,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
259,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
260,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
261,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
262,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
263,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Water
264,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,NULL
265,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
266,NULL,NULL,NULL,Water,Non_Wetland,Forest,NULL,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
279,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
280,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
281,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
282,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
286,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
287,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
289,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
296,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
298,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
328,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
329,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
330,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
