Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LFM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
11,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
13,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Bareland
14,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Built-up
15,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Water
16,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
18,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Wetland
20,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,NULL
22,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
24,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Built-up
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Wetland
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Bareland
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Water
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
184,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
185,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
205,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
206,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
208,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
210,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,NULL
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Bareland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Grassland
276,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
277,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
278,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
279,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
280,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
281,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
282,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Water
283,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
284,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
285,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Wetland
286,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Grassland
287,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Wetland
288,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
289,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Built-up
290,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,Grassland
291,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
292,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
293,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
294,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
295,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
296,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
297,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
298,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
299,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
300,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
301,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
302,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
303,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
304,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Bareland
305,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Forest
306,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Forest
307,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
308,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
309,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
310,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
311,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Forest
312,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
313,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
314,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
315,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
316,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
330,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
331,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
332,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
333,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
334,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
335,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
336,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
