Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KUQ_M_R
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
32,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
43,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
46,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
52,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
58,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
60,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
61,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
62,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
63,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
64,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
65,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
66,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
67,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
68,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
69,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
70,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
71,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
72,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
73,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
74,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
75,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
76,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
77,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
78,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
79,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
80,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
81,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
82,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
83,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
84,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
85,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
86,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
87,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
88,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
89,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
90,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
91,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
92,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
93,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
94,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
95,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
96,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
97,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
98,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
99,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
100,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
101,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
102,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
103,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
104,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
105,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
106,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
107,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
108,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
109,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
110,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
111,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
112,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
113,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
114,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
115,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
116,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
117,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
118,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
119,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
120,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
121,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
122,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
123,NULL,NULL,Water,Water,Water,NULL,NULL,NULL
124,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
125,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
126,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
127,NULL,NULL,Water,Water,Water,NULL,NULL,Water
128,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
129,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
130,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
131,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
132,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
133,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
134,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
135,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
136,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
137,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
138,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
139,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
140,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
141,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
142,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
143,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
144,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
145,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
146,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
147,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
148,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
149,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
150,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
151,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
152,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
153,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
154,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
155,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
156,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
157,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
158,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
159,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
160,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
161,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
162,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
163,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
164,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
165,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
166,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
167,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
168,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
169,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
170,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
171,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
172,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
173,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
174,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
175,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
176,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
177,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
178,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
179,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
180,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
181,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
182,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
183,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
184,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
185,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
186,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
187,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
188,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
189,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
190,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
191,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
192,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
193,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
194,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
195,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
196,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Water
197,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
198,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
199,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
200,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
201,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Water
202,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
203,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
204,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
205,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Water
206,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
207,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
208,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
209,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
210,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
211,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
212,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
213,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
214,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
215,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
216,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
217,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
218,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Water
219,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
220,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
221,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
222,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
223,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
224,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
225,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
226,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
227,NULL,Cropland,Water,NULL,Water,NULL,NULL,NULL
228,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
229,NULL,Cropland,Water,NULL,Water,NULL,NULL,Wetland
230,NULL,Cropland,Water,NULL,Water,NULL,NULL,Bareland
231,NULL,Cropland,Water,NULL,Water,NULL,NULL,Water
232,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
233,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
234,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Water
235,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Forest
236,NULL,Cropland,Water,Water,Water,NULL,NULL,Grassland
237,NULL,Cropland,Water,Water,Water,NULL,NULL,Bareland
238,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
239,NULL,Cropland,Water,Water,Water,NULL,NULL,Forest
240,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
241,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
242,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
243,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
244,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
245,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
246,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
247,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
248,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
249,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
250,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
251,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
252,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
253,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
254,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Water
255,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Forest
256,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
257,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
258,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
259,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
260,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
261,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
262,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
263,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
264,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
265,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
266,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
267,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
268,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
269,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
270,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
271,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
272,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
273,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
274,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
275,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
276,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
277,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
278,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
279,NULL,Bareland,Water,NULL,Water,NULL,NULL,Grassland
280,NULL,Bareland,Water,NULL,Water,NULL,NULL,Bareland
281,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
282,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
283,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
284,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
285,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
286,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
287,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
288,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
289,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
290,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
291,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
292,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
293,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
294,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
295,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
296,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
297,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
298,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
299,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
300,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
301,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
302,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
303,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
304,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
305,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
306,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
307,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
308,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
309,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Water
310,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
311,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
312,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
313,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
314,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
315,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
316,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
317,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
318,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
319,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
320,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
321,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
322,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
323,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
324,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
325,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
326,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
327,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
328,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
329,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
330,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
331,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
332,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
333,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
334,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
335,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
336,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
337,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
338,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
339,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Water
340,NULL,Built-up,Water,NULL,Water,NULL,NULL,NULL
