Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MDD_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
